family_rule,regime,policy,policy_class,tau,trusted_reference,clean_denominator,n_clean,false_hold,false_block,n_benign,benign_hold,benign_block,n_intervened,n_material,n_immaterial,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,residual_blind_material,decision_fpr,clean_false_action_rate,benign_hold_block_rate,benign_interruption_rate,nonmaterial_interruption_rate,safe_allow,containment,unsafe_allow_rate,coverage
conformal,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0475,0.0475,0.0,0.0,0.033545197740113,16422,0.0,1.0,0.22231735159817356
conformal,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0475,0.0,0.0,0.02822061590256461,19628,0.0,1.0,0.20357706470278802
conformal,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0475,0.0,0.0,0.025756891098056935,21560,0.0,1.0,0.13689839572192508
conformal,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0475,0.0475,0.0,0.0,0.033545197740113,16422,0.0,1.0,0.22231735159817356
conformal,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0475,0.0,0.0,0.02822061590256461,19628,0.0,1.0,0.20357706470278802
conformal,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,False,"12,000 disjoint clean evaluation draws",12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0475,0.0,0.0,0.025756891098056935,21560,0.0,1.0,0.13689839572192508
conformal,I_Ym,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,5450,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.22231735159817356
conformal,I_Ym,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,3028,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.20357706470278802
conformal,I_Ym,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,1614,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.13689839572192508
conformal,I_XFY,serve_always,baseline (always serve),0.0,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,0,0.0,0.0,0.0,0.0,0.0,16992,0.0,1.0,1.0
conformal,I_XFY,serve_always,baseline (always serve),0.02,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,0,0.0,0.0,0.0,0.0,0.0,20198,0.0,1.0,1.0
conformal,I_XFY,serve_always,baseline (always serve),0.05,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,0,0.0,0.0,0.0,0.0,0.0,22130,0.0,1.0,1.0
conformal,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,False,"12,000 disjoint clean evaluation draws",12000,3113,0,1200,910,0,10800,7008,3792,4180,2828,0,1894,1898,0,0.2594166666666667,0.2594166666666667,0.7583333333333333,0.7583333333333333,0.3484580979284369,11071,0.4035388127853881,0.5964611872146118,1.0
conformal,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,False,"12,000 disjoint clean evaluation draws",12000,3113,0,1200,910,0,10800,3802,6998,1926,1876,0,4148,2850,0,0.2594166666666667,0.2594166666666667,0.7583333333333333,0.7583333333333333,0.3402812159619764,13325,0.4934245134139926,0.5065754865860074,1.0
conformal,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,False,"12,000 disjoint clean evaluation draws",12000,3113,0,1200,910,0,10800,1870,8930,521,1349,0,5553,3377,0,0.2594166666666667,0.2594166666666667,0.7583333333333333,0.7583333333333333,0.3343877089923181,14730,0.7213903743315508,0.2786096256684492,1.0
conformal,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,7008,3792,4390,2618,0,1975,1817,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.1791431261770245,13948,0.3735730593607306,0.6264269406392694,1.0
conformal,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,3802,6998,2088,1714,0,4277,2721,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.1954648975146054,16250,0.4508153603366649,0.5491846396633351,1.0
conformal,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,1870,8930,629,1241,0,5736,3194,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.19977406235878897,17709,0.6636363636363637,0.33636363636363636,1.0
conformal,I_XFY,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,7008,3792,4390,2618,0,1975,1817,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.1791431261770245,13948,0.3735730593607306,0.6264269406392694,1.0
conformal,I_XFY,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,3802,6998,2088,1714,0,4277,2721,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.1954648975146054,16250,0.4508153603366649,0.5491846396633351,1.0
conformal,I_XFY,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,False,"12,000 disjoint clean evaluation draws",12000,637,0,1200,590,0,10800,1870,8930,629,1241,0,5736,3194,0,0.05308333333333334,0.05308333333333334,0.49166666666666664,0.49166666666666664,0.19977406235878897,17709,0.6636363636363637,0.33636363636363636,1.0
conformal,I_XFY_trusted,serve_always,baseline (always serve),0.0,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,0,0.0,0.0,0.0,0.0,0.0,6192,0.0,1.0,1.0
conformal,I_XFY_trusted,serve_always,baseline (always serve),0.02,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,0,0.0,0.0,0.0,0.0,0.0,9398,0.0,1.0,1.0
conformal,I_XFY_trusted,serve_always,baseline (always serve),0.05,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,0,0.0,0.0,0.0,0.0,0.0,11330,0.0,1.0,1.0
conformal,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,841,85,10800,7008,3792,0,0,7008,776,3016,0,0.0,0.0,0.7716666666666666,0.7716666666666666,0.6366279069767442,2250,1.0,0.0,1.0
conformal,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,841,85,10800,3802,6998,0,0,3802,776,6222,0,0.0,0.0,0.7716666666666666,0.7716666666666666,0.7605873590125558,2250,1.0,0.0,1.0
conformal,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,841,85,10800,1870,8930,0,0,1870,776,8154,0,0.0,0.0,0.7716666666666666,0.7716666666666666,0.8014121800529568,2250,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,7008,3792,0,0,7008,848,2944,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.5770348837209303,2619,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,3802,6998,0,0,3802,848,6150,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.721323685890615,2619,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,1870,8930,0,0,1870,848,8082,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.7688437775816417,2619,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,7008,3792,0,0,7008,848,2944,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.5770348837209303,2619,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,3802,6998,0,0,3802,848,6150,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.721323685890615,2619,1.0,0.0,1.0
conformal,I_XFY_trusted,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,True,"1,200 exact-zero rows (frozen clean rows and identity shams)",1200,0,0,1200,544,85,10800,1870,8930,0,0,1870,848,8082,0,0.0,0.0,0.5241666666666667,0.5241666666666667,0.7688437775816417,2619,1.0,0.0,1.0
v12_asymmetric,I_X,serve_always,baseline (always serve),0.0,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,2617,0.0,0.0,0.0,0.0,0.0,16992,0.0,1.0,0.6265696347031964
v12_asymmetric,I_X,serve_always,baseline (always serve),0.02,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,1319,0.0,0.0,0.0,0.0,0.0,20198,0.0,1.0,0.6530773277222515
v12_asymmetric,I_X,serve_always,baseline (always serve),0.05,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,444,0.0,0.0,0.0,0.0,0.0,22130,0.0,1.0,0.7625668449197861
v12_asymmetric,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,7008,3792,4429,2579,0,1927,1865,2617,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2514124293785311,12720,0.3680079908675799,0.63199200913242,0.6265696347031964
v12_asymmetric,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,3802,6998,2128,1674,0,4228,2770,1319,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2563125061887316,15021,0.4402945817990531,0.5597054182009469,0.6530773277222515
v12_asymmetric,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,1870,8930,652,1218,0,5704,3226,444,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2545413465883416,16497,0.651336898395722,0.34866310160427805,0.7625668449197861
v12_asymmetric,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,False,"12,000 disjoint clean evaluation draws",12000,733,0,1200,702,0,10800,7008,3792,4494,2514,0,1941,1851,2617,0.06108333333333334,0.06108333333333334,0.585,0.585,0.19338512241054615,13706,0.3587328767123288,0.6412671232876712,0.6265696347031964
v12_asymmetric,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,False,"12,000 disjoint clean evaluation draws",12000,733,0,1200,702,0,10800,3802,6998,2174,1628,0,4261,2737,1319,0.06108333333333334,0.06108333333333334,0.585,0.585,0.2065551044657887,16026,0.4281956864807996,0.5718043135192005,0.6530773277222515
v12_asymmetric,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,False,"12,000 disjoint clean evaluation draws",12000,733,0,1200,702,0,10800,1870,8930,680,1190,0,5755,3175,444,0.06108333333333334,0.06108333333333334,0.585,0.585,0.20831450519656575,17520,0.6363636363636364,0.36363636363636365,0.7625668449197861
v12_asymmetric,I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,2617,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.6265696347031964
v12_asymmetric,I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,1319,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.6530773277222515
v12_asymmetric,I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,444,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.7625668449197861
v12_asymmetric,I_XF,serve_always,baseline (always serve),0.0,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,2617,0.0,0.0,0.0,0.0,0.0,16992,0.0,1.0,0.6265696347031964
v12_asymmetric,I_XF,serve_always,baseline (always serve),0.02,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,1319,0.0,0.0,0.0,0.0,0.0,20198,0.0,1.0,0.6530773277222515
v12_asymmetric,I_XF,serve_always,baseline (always serve),0.05,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,444,0.0,0.0,0.0,0.0,0.0,22130,0.0,1.0,0.7625668449197861
v12_asymmetric,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,False,"12,000 disjoint clean evaluation draws",12000,2438,0,1200,910,0,10800,7008,3792,4231,2777,0,1894,1898,2617,0.20316666666666666,0.20316666666666666,0.7583333333333333,0.7583333333333333,0.3087335216572505,11746,0.3962614155251142,0.6037385844748858,0.6265696347031964
v12_asymmetric,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,False,"12,000 disjoint clean evaluation draws",12000,2438,0,1200,910,0,10800,3802,6998,1977,1825,0,4148,2850,1319,0.20316666666666666,0.20316666666666666,0.7583333333333333,0.7583333333333333,0.30686206555104467,14000,0.4800105207785376,0.5199894792214624,0.6530773277222515
v12_asymmetric,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,False,"12,000 disjoint clean evaluation draws",12000,2438,0,1200,910,0,10800,1870,8930,566,1304,0,5559,3371,444,0.20316666666666666,0.20316666666666666,0.7583333333333333,0.7583333333333333,0.30361500225937643,15411,0.6973262032085561,0.30267379679144385,0.7625668449197861
v12_asymmetric,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,False,"12,000 disjoint clean evaluation draws",12000,871,0,1200,648,0,10800,7008,3792,4327,2681,0,1919,1873,2617,0.07258333333333333,0.07258333333333333,0.54,0.54,0.19962335216572505,13600,0.3825627853881279,0.6174372146118722,0.6265696347031964
v12_asymmetric,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,False,"12,000 disjoint clean evaluation draws",12000,871,0,1200,648,0,10800,3802,6998,2046,1756,0,4200,2798,1319,0.07258333333333333,0.07258333333333333,0.54,0.54,0.21373403307258143,15881,0.4618621778011573,0.5381378221988428,0.6530773277222515
v12_asymmetric,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,False,"12,000 disjoint clean evaluation draws",12000,871,0,1200,648,0,10800,1870,8930,609,1261,0,5637,3293,444,0.07258333333333333,0.07258333333333333,0.54,0.54,0.21744238590149118,17318,0.674331550802139,0.325668449197861,0.7625668449197861
