gate,svd_dim,model,sensor,sensor_family__previous,n_cal__previous,alpha__previous,order_statistic_rank__previous,threshold__previous,null_median__previous,null_max__previous,rule__previous,sensor_family__corrected,n_cal__corrected,alpha__corrected,order_statistic_rank__corrected,threshold__corrected,null_median__corrected,null_max__corrected,rule__corrected,delta
gate2_id_256,10,qsvc_zz_r1,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0964832402080003,0.0,0.1223304954912004,fire if value > threshold,feature,200,0.05,191,0.0964832402080003,0.0,0.1223304954912004,fire if value > threshold,0.0
gate2_id_256,10,qsvc_zz_r1,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,10,qsvc_zz_r1,integrity_pred_jsd,prediction,200,0.05,191,0.0033031891922233,0.0004111043140826,0.0043408683301804,fire if value > threshold,prediction,200,0.05,191,0.0033031891922233,0.0004111043140826,0.0043408683301804,fire if value > threshold,0.0
gate2_id_256,10,qsvc_zz_r1,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.078125,0.02734375,0.08984375,fire if value > threshold,prediction,200,0.05,191,0.078125,0.02734375,0.08984375,fire if value > threshold,0.0
gate2_id_256,10,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0587211183772586,0.0418510852716949,0.0713554588488843,fire if value > threshold,prediction,200,0.05,191,0.0572328289359732,0.041652593394668744,0.0713554588583764,fire if value > threshold,-0.0014882894412854009
gate2_id_256,10,qsvc_zz_r1,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,10,svc_rbf,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0094358306542922,0.003330325616338,0.0131903537817795,fire if value > threshold,joint_outcome,200,0.05,191,0.0094358306542922,0.003330325616338,0.0131903537817795,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_confusion_profile_jsd_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,10,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.203125,0.0703125,0.2421875,fire if value > threshold,joint_outcome,200,0.05,191,0.203125,0.0703125,0.2421875,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_confusion_profile_l1_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,10,svc_rbf,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0331096832871887,0.0277312513548488,0.0352371711190379,fire if value > threshold,feature,200,0.05,191,0.0320735656133154,0.0259916030673818,0.0333148421850792,fire if value > threshold,-0.0010361176738733005
gate2_id_256,10,svc_rbf,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.3,0.1,0.6,fire if value > threshold,feature,200,0.05,191,0.3,0.1,0.6,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_label_jsd,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_label_prior_shift,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0663457695066032,0.0,0.0896804881421136,fire if value > threshold,feature,200,0.05,191,0.0663457695066032,0.0,0.0896804881421136,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,10,svc_rbf,integrity_pred_jsd,prediction,200,0.05,191,0.0055016840394679,0.0003290119927284,0.0078762970669125,fire if value > threshold,prediction,200,0.05,191,0.0055016840394679,0.0003290119927284,0.0078762970669125,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.09375,0.0234375,0.11328125,fire if value > threshold,prediction,200,0.05,191,0.09375,0.0234375,0.11328125,fire if value > threshold,0.0
gate2_id_256,10,svc_rbf,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0408473102163144,0.0297281063703453,0.0511963436042877,fire if value > threshold,prediction,200,0.05,191,0.0416099332389572,0.029575811687377752,0.0511963436122999,fire if value > threshold,0.0007626230226428013
gate2_id_256,10,svc_rbf,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0067112591219447,0.0014559182327621,0.0094766676148339,fire if value > threshold,joint_outcome,200,0.05,191,0.0067112591219447,0.0014559182327621499,0.0094766676148339,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_jsd_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.078125,0.2109375,fire if value > threshold,joint_outcome,200,0.05,191,0.1796875,0.078125,0.2109375,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_l1_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0343094006730517,0.0276971553340065,0.0358116493806309,fire if value > threshold,feature,200,0.05,191,0.0332254576933257,0.02621924794014075,0.0345400289200761,fire if value > threshold,-0.0010839429797259992
gate2_id_256,12,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.3333333333333333,0.0833333333333333,0.5,fire if value > threshold,feature,200,0.05,191,0.3333333333333333,0.0833333333333333,0.5,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_label_jsd,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_label_prior_shift,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0820056694007721,0.0,0.09959722988639,fire if value > threshold,feature,200,0.05,191,0.0820056694007721,0.0,0.09959722988639,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_pred_jsd,prediction,200,0.05,191,0.0031870635200895,0.0005077460056951,0.0046588916542489,fire if value > threshold,prediction,200,0.05,191,0.0031870635200895,0.0005077460056951,0.0046588916542489,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.078125,0.03125,0.09375,fire if value > threshold,prediction,200,0.05,191,0.078125,0.03125,0.09375,fire if value > threshold,0.0
gate2_id_256,12,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0515115314875656,0.0425546869171065,0.0572815727469838,fire if value > threshold,prediction,200,0.05,191,0.0491337599737155,0.04130892260390915,0.0551019339886826,fire if value > threshold,-0.002377771513850095
gate2_id_256,12,qsvc_zz_r1,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,svc_rbf,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0074255582078892,0.0031666984707577,0.0087305530788278,fire if value > threshold,joint_outcome,200,0.05,191,0.0074255582078892,0.00316669847075775,0.0087305530788278,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_confusion_profile_jsd_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.0859375,0.2109375,fire if value > threshold,joint_outcome,200,0.05,191,0.1796875,0.0859375,0.2109375,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_confusion_profile_l1_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,svc_rbf,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0343094006646923,0.0276971553281655,0.0358116493716277,fire if value > threshold,feature,200,0.05,191,0.0332254576933257,0.02621924794014075,0.0345400289200761,fire if value > threshold,-0.0010839429713665957
gate2_id_256,12,svc_rbf,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.3333333333333333,0.0833333333333333,0.5,fire if value > threshold,feature,200,0.05,191,0.3333333333333333,0.0833333333333333,0.5,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_label_jsd,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_label_prior_shift,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0430928656712423,0.0,0.0562738017810601,fire if value > threshold,feature,200,0.05,191,0.0430928656712423,0.0,0.0562738017810601,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate2_id_256,12,svc_rbf,integrity_pred_jsd,prediction,200,0.05,191,0.0046612435847818,0.0003254448050272,0.0059030321913444,fire if value > threshold,prediction,200,0.05,191,0.0046612435847818,0.0003254448050272,0.0059030321913444,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.08984375,0.0234375,0.1015625,fire if value > threshold,prediction,200,0.05,191,0.08984375,0.0234375,0.1015625,fire if value > threshold,0.0
gate2_id_256,12,svc_rbf,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0602632519575653,0.0456043410088925,0.0657794012863272,fire if value > threshold,prediction,200,0.05,191,0.0587191092522017,0.0436162582380202,0.0630196075166985,fire if value > threshold,-0.0015441427053635992
gate2_id_256,12,svc_rbf,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0122363886320894,0.0028092341640877,0.0209148620383508,fire if value > threshold,joint_outcome,200,0.05,191,0.0122363886320894,0.0028092341640877,0.0209148620383508,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_jsd_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2187499999999888,0.0781249999999994,0.281249999999991,fire if value > threshold,joint_outcome,200,0.05,191,0.2187499999999888,0.0781249999999994,0.281249999999991,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_l1_delta,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0556541515193971,0.0435117602121765,0.0638698296399451,fire if value > threshold,feature,200,0.05,191,0.0549596941900329,0.0426978000962306,0.0629301004104709,fire if value > threshold,-0.0006944573293641981
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.125,0.0,0.375,fire if value > threshold,feature,200,0.05,191,0.125,0.0,0.375,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_label_jsd,label_marginal,200,0.05,191,0.0037248662123676,0.0004888385244522,0.0060667435555779,fire if value > threshold,label_marginal,200,0.05,191,0.0037248662123676,0.0004888385244522,0.0060667435555779,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_label_prior_shift,label_marginal,200,0.05,191,0.0859375,0.03125,0.109375,fire if value > threshold,label_marginal,200,0.05,191,0.0859375,0.03125,0.109375,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0845019727006916,0.0,0.1546834490949412,fire if value > threshold,feature,200,0.05,191,0.0845019727006916,0.0,0.1546834490949412,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_pred_jsd,prediction,200,0.05,191,0.0081922988933004,0.0007522052622919,0.0098011724703511,fire if value > threshold,prediction,200,0.05,191,0.0081922988933004,0.00075220526229195,0.0098011724703511,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.0390625,0.0078125,0.0546875,fire if value > threshold,prediction,200,0.05,191,0.0390625,0.0078125,0.0546875,fire if value > threshold,0.0
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0881661474728616,0.0608738810720205,0.1209048139664248,fire if value > threshold,prediction,200,0.05,191,0.0891881466957041,0.059999193323342456,0.1119805886920171,fire if value > threshold,0.001021999222842504
gate3a_ood_tue_wed,8,qsvc_zz_r1,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws,0.0
gate3a_ood_tue_wed,8,svc_rbf,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0161019732243421,0.0038935363360195,0.0297278355217397,fire if value > threshold,joint_outcome,200,0.05,191,0.0161019732243421,0.0038935363360195,0.0297278355217397,fire if value > threshold,0.0
